URL,Title,Price,Location,Description,Attributes,Property Type,Rooms,Den Included,Number of Bathrooms,Latitude,Longitude,Parking Included,Utilities Included,Pet Friendly,Size (sqft),Furnished,Building Name,Distance from Hospital,Distance from Police Station,Distance to Nearest Store,Distance to Nearest Pharmacy,Walk Score,Transit Score,Bike Score,Time to Nearest Hospital,Time to Nearest Police Station,Time to Nearest Store,Time to Nearest Pharmacy
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-025-beautifu-furnsished-home-in-the-heart-of-bedford/1688214679,"24-025 Beautifu,FURNSISHED  home in the heart of Bedford",3200,"Golf Links Road, Bedford, NS, B4A 2T8","Description Beautifully designed, decorated and furnished two-bedroom home in the heart of Bedford. Walking distance to fresh local restaurants, groceries, parks, pubs, shopping and all possible amenities. Less than 20 minutes to the airport, downtown Halifax or Dartmouth. Wrap around deck with additional private deck and fully fenced yard in the back. Open concept main floor has a heat pump to ensure efficient and economical heating and cooling year-round. Large but cozy living area has ornamental granite fireplace with historic custom-built mantle and 55"" Smart TV with in-wall surround speaker system. Fully stocked kitchen with coffee bar, new high-end appliances, waterfall countertop and kitchen island. Fabulous dining nook with vaulted ceiling, skylight and pendant LED lights. Full bath on main floor with soaker tub, rainfall showerhead and another skylight. Upper floor has two bedrooms, the Primary with a King Bed and 43"" Smart TV. Second bedroom has Queen bed and designated office space. Spacious dry basement houses laundry room, storage and a media centre with projector, home theatre surround system, gaming consoles and the ultimate La-Z-boy couch! Utilities Extra. No Smokers Please. Well behaved dog may be considered. This gorgeous home is available for rent now. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 For a complete list of available houses, flats and condos visit us at: https://www.halifaxqualityhomes.com","Parking Included: 3+; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 3+ | Size (sqft): Not Available; Furnished: Yes; Air Conditioning: Yes; Smoking Permitted: No",House,2,0,1,44.7272568,-63.6532298,3+,0,0,Not Available,1,,13937,12866,9067,5780,89,,16,1004,1091,634,609
https://www.kijiji.ca/v-apartments-condos/dartmouth/dartmouth-1-bedroom-apartment-for-rent-15-25-35-leaman-drive/1681654552,"Dartmouth 1 Bedroom Apartment for Rent - 15, 25, 35 Leaman Drive",1829,"35 Leaman Drive, Dartmouth, NS, B3A 2K6","Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Utilities Included Property Amenities Suite Amenities","Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Yes; Parking Included: 0; Utilities Included: Heat, Water | Size (sqft): 723; Furnished: No; Air Conditioning: No; Smoking Permitted: No",Apartment,1,0,1,44.6869041,-63.5805506,0,1,1,723,0,,5972,5550,2046,1051,89,65,80,591,673,284,182
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-in-halifax-for-march/1684095786,4 Bedroom House in Halifax for March,3995,"12 Palmer Hill, Halifax, NS, B3N 1S5","This beautiful home is located on a private road in Fairmount - Halifax, NS. Over 4400 SF of living space featuring 4 bedrooms, 3 full and 1 half bath, main floor family room with fireplace, living room, dining room and spacious office/den/bdrm. The huge eat in kitchen boasts of granite counter-tops, center island, abundance of cabinetry & stainless steal appliances. The Master Suite boasts a fireplace, large walk in closet as well as a spa like customized 5 pc en-suite with double air jet tub, separate shower, double sinks & beautiful built ins. Large 14 X 14 rear deck features a covered gazebo. 3 bedroom, 3 baths (4,400 sq ft) $3995 Available: March 1, 2024 Appliances: Fridge Stove Dishwasher Microwave Washer Dryer Garburator Parking: 2 Driveways/Two Garages Policies: No Pets To find out more or schedule a viewing please contact: Catherine Harkins Leasing Agent Tel: 902-444-7368 (RENT) Email: charkins@paramountmanagement.ca","Parking Included: 0; Agreement Type: 1 Year; Move-In Date: March 1, 2024; Pet Friendly: No; Parking Included: 0 | Size (sqft): 4,400; Furnished: No; Air Conditioning: No; Smoking Permitted: No",House,3,0,3,44.6413012,-63.6301224,0,0,0,"4,400",0,,4333,4189,1762,1656,54,49,56,641,584,313,272
https://www.kijiji.ca/v-apartments-condos/bedford/large-3-bedroom-den-3-bathroom-house/1689373323,Large 3 Bedroom + Den 3 Bathroom House,2500,"Crossfield Ridge, Middle Sackville, NS B4E 3A6","3 Bedroom + Den, 3 Bathroom townhouse for rent available April.1st.
Located in a great family neighborhood, the house includes all stainless steel appliances, close to schools and all amenities.
Please contact kristi at 902-401-6732 for more details or to schedule a viewing!
$2500 + utilities.","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): 2,500; Furnished: No; Air Conditioning: Yes; Smoking Permitted: Outdoors only",House,3,1,3,44.7857328,-63.7150497,2,0,0,"2,500",0,,23564,22493,15467,15339,89,65,80,1507,1594,876,870
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-bachelor-apt/1683391064,OPEN HOUSE SATURDAY 10-4  BACHELOR APT,1612,"5415 Victoria Road, Halifax, NS, B3H 4K5","Southpoint Apartments are conveniently located in the South end of Halifax on Victoria Road at Inglis Street. Near Dalhousie & Saint Mary's Universities, hospitals, and the downtown core. Only steps away from grocery shopping, fine dining, entertainment, and the business district. Details: DND, Capital Health employees and Seniors receive a discount of 5% Heat and Hot Water included. Please contact (902) 830-1863 to inquire about availability or to schedule a viewing! You may also visit our website at https://universalgroup.ca/apartments/southpoint","Parking Included: 0; Agreement Type: 1 Year; Pet Friendly: Limited; Parking Included: 0; Utilities Included: Heat, Water | Size (sqft): Not Available; Furnished: No; Air Conditioning: No; Smoking Permitted: Yes | Barrier-free Entrances and Ramps: No; Visual Aids: No; Accessible Washrooms in Suite: No",Apartment,1,0,1,44.6363934,-63.5716318,0,1,0,Not Available,0,,1216,794,309,377,89,65,80,246,164,92,102
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/windsor-st-all-inclusive-ht-hw-lights-parking/1689345362,"Windsor st- All Inclusive,ht,hw,lights,parking",1350,"3511 Windsor St., Halifax, NS, B3K 5G6","3511 WINDSOR STAll Inclusive- hardwood floors. Large 1 Bdrm. unit in 6 unit house. The house has two units on each floor and each two units share one bathroom. Main level unit, , and own entrance. It has a large kitchen (large enough to make it kitchen living room combination) with full size fridge and stove. There is also a large bedroom. The bathroom is located in a hallway between the two units. The rent is $1,350 per month includes your heat (which you control) your hot water, your lights and cold water. If you travel by bus this is on an excellent bus route with bus stop in front of the house. To view or for more information call or text Joe at 902-233-1299.","Parking Included: 1; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: No; Parking Included: 1; Utilities Included: Hydro, Heat, Water | Size (sqft): Not Available; Furnished: No; Air Conditioning: No; Smoking Permitted: Outdoors only",Apartment,1,0,1,44.6609824,-63.6156802,1,1,0,Not Available,0,,3244,3570,1221,1667,89,,50,472,552,167,236
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-020-lovely-4-br-halifax-home-utilities-incl/1686649692,24-020 Lovely 4 br Halifax home.  UTILITIES INCL,2900,"Juniper Crescent, Halifax, NS, B3R 2H4","Description Well-maintained family home situated on a large double lot in popular Leiblin Park. Lovely front entry with a nice deep closet for all your outerwear. Hardwood flooring throughout the main level. Large living room has an electric fireplace with stone surround. Dining area off kitchen with single French door to living room and patio doors to sundeck. Kitchen has ample counter and cupboard space, moveable centre island, stainless steel appliances, propane stove and breakfast bar. Half bath with laundry just inside the side entrance off kitchen. Four bedrooms upstairs, the fourth of which would make a great nursery or home office. Fabulous 4-piece bath with custom built shower stall. Three heat pumps. Lots of private greenspace with large sundeck and mature trees. Plenty of parking. Quiet tenant in basement apartment has separate entrance at rear of the home. HEAT, HOT WATER, WATER, POWER AND AIR CONDITIONING INCLUDED. Tenant pays for propane and internet only. No smokers please. A well-behaved pet will be considered. This home is move-in ready and available now for a minimum of one year. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 For a complete list of available houses, flats and condos visit us at www.HalifaxQualityHomes.com","Parking Included: 3+; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 3+; Utilities Included: Hydro, Heat, Water | Size (sqft): Not Available; Furnished: No; Air Conditioning: Yes; Smoking Permitted: No",House,4,0,1.5,44.5952896,-63.6358174,3+,1,0,Not Available,0,,9869,9725,4425,3696,89,65,80,1046,989,383,370
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-104-beautiful-family-home-in-the-south-end/1678803741,23-104 Beautiful family home in the South End,4000,"Robie Street, Halifax, NS, B3H 3E7","Description Beautiful historic home in the South End of Halifax! This is a charming 3-4-bedroom home that has been thoughtfully updated with a blend of old charm and modern convenience. Leave the car at home and enjoy a short walk to all of the Halifax hospitals, the shops and eateries in downtown Halifax, the gorgeous Public Gardens, universities and a multitude of private and public schools. The living room and dining room offer a wonderfully large sun filled space with 2 original fireplace mantels, hardwood floors and doors to a large sundeck overlooking a delightful private back garden. A powder room with laundry located on the main floor. The updated kitchen includes lots of sleek bamboo cabinetry, stone countertops and island with breakfast bar. This is a perfect house for family living and entertaining. Four bedrooms, or 3 plus office, on upper level along with a lovely, updated bathroom. Unfinished basement with workspace. Natural gas heating. Parking for one vehicle. Snow removal and lawn care included. No smokers Please. A very well-behaved pet may be considered. Available now for a minimum of one year. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 For a complete list of available houses, flats and condos visit us at: www.HalifaxQualityHomes.com","Parking Included: 1; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 1 | Size (sqft): Not Available; Furnished: No; Air Conditioning: No; Smoking Permitted: No",House,4,0,1.5,44.6429774,-63.5881251,1,0,0,Not Available,0,,987,1819,853,307,7,28,73,172,334,163,61
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/st-margarets-bay-waterfront/1689353874,St Margaret's Bay Waterfront,2500,"Glen Haven, NS B3Z 2T9","2 bedroom winterized cottage on Indian Point Road with direct waterfrontage. Small beach, planning to
repair the existing wharf within a year. Well water, heat pump for heat, small electric fireplace in living room. Right now it is open to the road but a hedge is being planted this spring. I will be taking inquiries by email only until the end on April, then I will take phone inquiries. Please email me at vce@eastlink.ca.","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: June 1, 2024; Pet Friendly: Limited; Parking Included: 2; Utilities Included: Water | Size (sqft): 1,000; Furnished: No; Air Conditioning: Yes; Smoking Permitted: No | Barrier-free Entrances and Ramps: Yes; Visual Aids: No; Accessible Washrooms in Suite: No",House,2,0,1,44.6405259,-63.9244326,2,1,0,"1,000",0,,36813,36375,27581,27452,89,,24,2009,2044,1596,1657
https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-014-spacious-semi-detached-home-in-dartmouth/1684868927,24-014 Spacious semi detached home in Dartmouth,2300,"Cranbery Crescent, Dartmouth, NS, B2W 5A9","Description Three-bedroom semi-detached split-entry home in the Woodlawn area of Dartmouth. Near shopping, schools and bus routes. Upper level has one bedroom, powder room, large bright living room, sizable dining area, and kitchen leading to back yard. Gleaming hardwood floors and lots of natural sunlight. Lower level has a large landing which leads to two additional bedrooms with laminate flooring, a full bath and a good-sized laundry room with storage space. There is a heat pump on each floor to ensure economical and efficient heating and cooling year-round. Ample parking in the driveway with a shed at the back of the yard for storage. A well-behaved pet may be considered. No Smokers Please. This family home is ready to rent now for a minimum of one year. Halifax Quality Homes for Rent Ltd. Tel: 902-445-4952 complete list of available houses, flats and condos at www.HalifaxQualityHomes.com","Parking Included: 2; Agreement Type: 1 Year; Move-In Date: April 1, 2024; Pet Friendly: Limited; Parking Included: 2 | Size (sqft): 1,344; Furnished: No; Air Conditioning: Yes; Smoking Permitted: No",House,3,0,1.5,44.6842486,-63.5025883,2,0,0,"1,344",0,,7361,11460,3585,7678,89,65,80,697,1195,426,734
